[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=5-axis Cradle safety limit, Owner=User, Creation date=2021/03/24 15:36:14"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-x-y-z stage 240 mm; Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\User\Documents\User\Shimomura lab\program_shimomura lab\TiO2-LAO 2t-w 20-90 Ge220 dcore.xrdmp, Identifier={4F83D392-D46F-473C-9A04-935A26DDC74A}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0130 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Divergence slit,Fixed,0.76mm
Monochromator used,YES
Generator voltage, 45
Tube current, 40
File date and time,25/7/2022 10:29
Unit cell,
h k l, 0 0 0
Scan axis,2Theta-Omega
Scan range,20.00000,90.00000
Scan step size,0.0200000
Omega offset,0.0000
No. of points, 3500
Scan type,CONTINUOUS
Phi,0.00
Psi,0.00
X,0.00
Y,0.00
Z,9.338
Time per step,0.176
[Scan points]
Angle, TimePerStep, Intensity, ESD
20.01000, 0.176, 3.0, 1.7321
20.03000, 0.176, 6.0, 2.4495
20.05000, 0.176, 5.0, 2.2361
20.07000, 0.176, 1.0, 1.0000
20.09000, 0.176, 3.0, 1.7321
20.11000, 0.176, 5.0, 2.2361
20.13000, 0.176, 5.0, 2.2361
20.15000, 0.176, 0.0, 0.0000
20.17000, 0.176, 5.0, 2.2361
20.19000, 0.176, 4.0, 2.0000
20.21000, 0.176, 3.0, 1.7321
20.23000, 0.176, 3.0, 1.7321
20.25000, 0.176, 2.0, 1.4142
20.27000, 0.176, 3.0, 1.7321
20.29000, 0.176, 1.0, 1.0000
20.31000, 0.176, 4.0, 2.0000
20.33000, 0.176, 1.0, 1.0000
20.35000, 0.176, 2.0, 1.4142
20.37000, 0.176, 0.0, 0.0000
20.39000, 0.176, 6.0, 2.4495
20.41000, 0.176, 1.0, 1.0000
20.43000, 0.176, 4.0, 2.0000
20.45000, 0.176, 1.0, 1.0000
20.47000, 0.176, 3.0, 1.7321
20.49000, 0.176, 2.0, 1.4142
20.51000, 0.176, 4.0, 2.0000
20.53000, 0.176, 5.0, 2.2361
20.55000, 0.176, 1.0, 1.0000
20.57000, 0.176, 3.0, 1.7321
20.59000, 0.176, 4.0, 2.0000
20.61000, 0.176, 5.0, 2.2361
20.63000, 0.176, 2.0, 1.4142
20.65000, 0.176, 2.0, 1.4142
20.67000, 0.176, 4.0, 2.0000
20.69000, 0.176, 1.0, 1.0000
20.71000, 0.176, 6.0, 2.4495
20.73000, 0.176, 2.0, 1.4142
20.75000, 0.176, 1.0, 1.0000
20.77000, 0.176, 1.0, 1.0000
20.79000, 0.176, 8.0, 2.8284
20.81000, 0.176, 2.0, 1.4142
20.83000, 0.176, 3.0, 1.7321
20.85000, 0.176, 6.0, 2.4495
20.87000, 0.176, 6.0, 2.4495
20.89000, 0.176, 3.0, 1.7321
20.91000, 0.176, 5.0, 2.2361
20.93000, 0.176, 3.0, 1.7321
20.95000, 0.176, 2.0, 1.4142
20.97000, 0.176, 2.0, 1.4142
20.99000, 0.176, 3.0, 1.7321
21.01000, 0.176, 5.0, 2.2361
21.03000, 0.176, 3.0, 1.7321
21.05000, 0.176, 0.0, 0.0000
21.07000, 0.176, 0.0, 0.0000
21.09000, 0.176, 2.0, 1.4142
21.11000, 0.176, 3.0, 1.7321
21.13000, 0.176, 3.0, 1.7321
21.15000, 0.176, 6.0, 2.4495
21.17000, 0.176, 9.0, 3.0000
21.19000, 0.176, 5.0, 2.2361
21.21000, 0.176, 1.0, 1.0000
21.23000, 0.176, 3.0, 1.7321
21.25000, 0.176, 5.0, 2.2361
21.27000, 0.176, 2.0, 1.4142
21.29000, 0.176, 2.0, 1.4142
21.31000, 0.176, 3.0, 1.7321
21.33000, 0.176, 3.0, 1.7321
21.35000, 0.176, 3.0, 1.7321
21.37000, 0.176, 5.0, 2.2361
21.39000, 0.176, 0.0, 0.0000
21.41000, 0.176, 4.0, 2.0000
21.43000, 0.176, 2.0, 1.4142
21.45000, 0.176, 4.0, 2.0000
21.47000, 0.176, 4.0, 2.0000
21.49000, 0.176, 5.0, 2.2361
21.51000, 0.176, 2.0, 1.4142
21.53000, 0.176, 2.0, 1.4142
21.55000, 0.176, 1.0, 1.0000
21.57000, 0.176, 2.0, 1.4142
21.59000, 0.176, 1.0, 1.0000
21.61000, 0.176, 2.0, 1.4142
21.63000, 0.176, 3.0, 1.7321
21.65000, 0.176, 3.0, 1.7321
21.67000, 0.176, 2.0, 1.4142
21.69000, 0.176, 2.0, 1.4142
21.71000, 0.176, 5.0, 2.2361
21.73000, 0.176, 7.0, 2.6458
21.75000, 0.176, 6.0, 2.4495
21.77000, 0.176, 2.0, 1.4142
21.79000, 0.176, 2.0, 1.4142
21.81000, 0.176, 2.0, 1.4142
21.83000, 0.176, 3.0, 1.7321
21.85000, 0.176, 2.0, 1.4142
21.87000, 0.176, 6.0, 2.4495
21.89000, 0.176, 7.0, 2.6458
21.91000, 0.176, 8.0, 2.8284
21.93000, 0.176, 4.0, 2.0000
21.95000, 0.176, 5.0, 2.2361
21.97000, 0.176, 3.0, 1.7321
21.99000, 0.176, 7.0, 2.6458
22.01000, 0.176, 8.0, 2.8284
22.03000, 0.176, 6.0, 2.4495
22.05000, 0.176, 4.0, 2.0000
22.07000, 0.176, 5.0, 2.2361
22.09000, 0.176, 2.0, 1.4142
22.11000, 0.176, 6.0, 2.4495
22.13000, 0.176, 4.0, 2.0000
22.15000, 0.176, 5.0, 2.2361
22.17000, 0.176, 5.0, 2.2361
22.19000, 0.176, 3.0, 1.7321
22.21000, 0.176, 3.0, 1.7321
22.23000, 0.176, 6.0, 2.4495
22.25000, 0.176, 6.0, 2.4495
22.27000, 0.176, 4.0, 2.0000
22.29000, 0.176, 11.0, 3.3166
22.31000, 0.176, 7.0, 2.6458
22.33000, 0.176, 6.0, 2.4495
22.35000, 0.176, 5.0, 2.2361
22.37000, 0.176, 4.0, 2.0000
22.39000, 0.176, 11.0, 3.3166
22.41000, 0.176, 6.0, 2.4495
22.43000, 0.176, 5.0, 2.2361
22.45000, 0.176, 7.0, 2.6458
22.47000, 0.176, 6.0, 2.4495
22.49000, 0.176, 18.0, 4.2426
22.51000, 0.176, 10.0, 3.1623
22.53000, 0.176, 11.0, 3.3166
22.55000, 0.176, 12.0, 3.4641
22.57000, 0.176, 8.0, 2.8284
22.59000, 0.176, 16.0, 4.0000
22.61000, 0.176, 11.0, 3.3166
22.63000, 0.176, 10.0, 3.1623
22.65000, 0.176, 16.0, 4.0000
22.67000, 0.176, 13.0, 3.6056
22.69000, 0.176, 16.0, 4.0000
22.71000, 0.176, 10.0, 3.1623
22.73000, 0.176, 26.0, 5.0990
22.75000, 0.176, 14.0, 3.7417
22.77000, 0.176, 22.0, 4.6904
22.79000, 0.176, 13.0, 3.6056
22.81000, 0.176, 13.0, 3.6056
22.83000, 0.176, 27.0, 5.1962
22.85000, 0.176, 21.0, 4.5826
22.87000, 0.176, 38.0, 6.1644
22.89000, 0.176, 33.0, 5.7446
22.91000, 0.176, 28.0, 5.2915
22.93000, 0.176, 52.0, 7.2111
22.95000, 0.176, 43.0, 6.5574
22.97000, 0.176, 45.0, 6.7082
22.99000, 0.176, 59.0, 7.6811
23.01000, 0.176, 46.0, 6.7823
23.03000, 0.176, 60.0, 7.7460
23.05000, 0.176, 84.0, 9.1652
23.07000, 0.176, 99.0, 9.9499
23.09000, 0.176, 105.0, 10.2470
23.11000, 0.176, 118.0, 10.8628
23.13000, 0.176, 134.0, 11.5758
23.15000, 0.176, 176.0, 13.2665
23.17000, 0.176, 224.0, 14.9666
23.19000, 0.176, 299.0, 17.2916
23.21000, 0.176, 447.0, 21.1424
23.23000, 0.176, 724.0, 26.9072
23.25000, 0.176, 1573.0, 39.6611
23.27000, 0.176, 7355.0, 85.7613
23.29000, 0.176, 26238.0, 161.9815
23.31000, 0.176, 43850.0, 209.4039
23.33000, 0.176, 48442.0, 220.0954
23.35000, 0.176, 46011.0, 214.5017
23.37000, 0.176, 41574.0, 203.8970
23.39000, 0.176, 38758.0, 196.8705
23.41000, 0.176, 36628.0, 191.3844
23.43000, 0.176, 35163.0, 187.5180
23.45000, 0.176, 34860.0, 186.7083
23.47000, 0.176, 33670.0, 183.4939
23.49000, 0.176, 34055.0, 184.5400
23.51000, 0.176, 31439.0, 177.3105
23.53000, 0.176, 21377.0, 146.2088
23.55000, 0.176, 9572.0, 97.8366
23.57000, 0.176, 3302.0, 57.4630
23.59000, 0.176, 1269.0, 35.6230
23.61000, 0.176, 608.0, 24.6577
23.63000, 0.176, 349.0, 18.6815
23.65000, 0.176, 286.0, 16.9115
23.67000, 0.176, 196.0, 14.0000
23.69000, 0.176, 146.0, 12.0830
23.71000, 0.176, 127.0, 11.2694
23.73000, 0.176, 112.0, 10.5830
23.75000, 0.176, 86.0, 9.2736
23.77000, 0.176, 75.0, 8.6603
23.79000, 0.176, 59.0, 7.6811
23.81000, 0.176, 44.0, 6.6332
23.83000, 0.176, 48.0, 6.9282
23.85000, 0.176, 53.0, 7.2801
23.87000, 0.176, 47.0, 6.8557
23.89000, 0.176, 32.0, 5.6569
23.91000, 0.176, 45.0, 6.7082
23.93000, 0.176, 39.0, 6.2450
23.95000, 0.176, 25.0, 5.0000
23.97000, 0.176, 22.0, 4.6904
23.99000, 0.176, 22.0, 4.6904
24.01000, 0.176, 18.0, 4.2426
24.03000, 0.176, 16.0, 4.0000
24.05000, 0.176, 12.0, 3.4641
24.07000, 0.176, 20.0, 4.4721
24.09000, 0.176, 16.0, 4.0000
24.11000, 0.176, 18.0, 4.2426
24.13000, 0.176, 8.0, 2.8284
24.15000, 0.176, 10.0, 3.1623
24.17000, 0.176, 12.0, 3.4641
24.19000, 0.176, 9.0, 3.0000
24.21000, 0.176, 9.0, 3.0000
24.23000, 0.176, 9.0, 3.0000
24.25000, 0.176, 13.0, 3.6056
24.27000, 0.176, 8.0, 2.8284
24.29000, 0.176, 6.0, 2.4495
24.31000, 0.176, 7.0, 2.6458
24.33000, 0.176, 10.0, 3.1623
24.35000, 0.176, 8.0, 2.8284
24.37000, 0.176, 9.0, 3.0000
24.39000, 0.176, 7.0, 2.6458
24.41000, 0.176, 5.0, 2.2361
24.43000, 0.176, 4.0, 2.0000
24.45000, 0.176, 9.0, 3.0000
24.47000, 0.176, 3.0, 1.7321
24.49000, 0.176, 2.0, 1.4142
24.51000, 0.176, 7.0, 2.6458
24.53000, 0.176, 2.0, 1.4142
24.55000, 0.176, 0.0, 0.0000
24.57000, 0.176, 3.0, 1.7321
24.59000, 0.176, 5.0, 2.2361
24.61000, 0.176, 4.0, 2.0000
24.63000, 0.176, 3.0, 1.7321
24.65000, 0.176, 4.0, 2.0000
24.67000, 0.176, 4.0, 2.0000
24.69000, 0.176, 7.0, 2.6458
24.71000, 0.176, 3.0, 1.7321
24.73000, 0.176, 3.0, 1.7321
24.75000, 0.176, 4.0, 2.0000
24.77000, 0.176, 6.0, 2.4495
24.79000, 0.176, 3.0, 1.7321
24.81000, 0.176, 4.0, 2.0000
24.83000, 0.176, 4.0, 2.0000
24.85000, 0.176, 6.0, 2.4495
24.87000, 0.176, 5.0, 2.2361
24.89000, 0.176, 8.0, 2.8284
24.91000, 0.176, 3.0, 1.7321
24.93000, 0.176, 4.0, 2.0000
24.95000, 0.176, 4.0, 2.0000
24.97000, 0.176, 3.0, 1.7321
24.99000, 0.176, 1.0, 1.0000
25.01000, 0.176, 3.0, 1.7321
25.03000, 0.176, 5.0, 2.2361
25.05000, 0.176, 9.0, 3.0000
25.07000, 0.176, 8.0, 2.8284
