[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=5-axis Cradle safety limit, Owner=User, Creation date=2021/03/24 15:36:14"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-x-y-z stage 240 mm; Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\User\Documents\User\Shimomura lab\program_shimomura lab\TiO2-LAO rocking_+-1degree Ge220 dcore.xrdmp, Identifier={DD526183-C357-4FE3-858F-4B5514FCD3D8}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0130 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Divergence slit,Fixed,0.76mm
Monochromator used,YES
Generator voltage, 45
Tube current, 40
File date and time,25/7/2022 10:45
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,8.95430,28.90430
Scan step size,0.0500000
No. of points, 399
Scan type,CONTINUOUS
2Theta,37.8585
Phi,0.00
Psi,0.00
X,0.00
Y,0.00
Z,9.338
Time per step,0.440
[Scan points]
Angle, TimePerStep, Intensity, ESD
8.97930, 0.440, 360.0, 18.9737
9.02930, 0.440, 374.0, 19.3391
9.07930, 0.440, 354.0, 18.8149
9.12930, 0.440, 359.0, 18.9473
9.17930, 0.440, 342.0, 18.4932
9.22930, 0.440, 342.0, 18.4932
9.27930, 0.440, 329.0, 18.1384
9.32930, 0.440, 362.0, 19.0263
9.37930, 0.440, 359.0, 18.9473
9.42930, 0.440, 349.0, 18.6815
9.47930, 0.440, 347.0, 18.6279
9.52930, 0.440, 376.0, 19.3907
9.57930, 0.440, 405.0, 20.1246
9.62930, 0.440, 367.0, 19.1572
9.67930, 0.440, 391.0, 19.7737
9.72930, 0.440, 380.0, 19.4936
9.77930, 0.440, 355.0, 18.8414
9.82930, 0.440, 377.0, 19.4165
9.87930, 0.440, 354.0, 18.8149
9.92930, 0.440, 358.0, 18.9209
9.97930, 0.440, 367.0, 19.1572
10.02930, 0.440, 400.0, 20.0000
10.07930, 0.440, 362.0, 19.0263
10.12930, 0.440, 382.0, 19.5448
10.17930, 0.440, 358.0, 18.9209
10.22930, 0.440, 400.0, 20.0000
10.27930, 0.440, 405.0, 20.1246
10.32930, 0.440, 437.0, 20.9045
10.37930, 0.440, 400.0, 20.0000
10.42930, 0.440, 420.0, 20.4939
10.47930, 0.440, 426.0, 20.6398
10.52930, 0.440, 412.0, 20.2978
10.57930, 0.440, 404.0, 20.0998
10.62930, 0.440, 427.0, 20.6640
10.67930, 0.440, 508.0, 22.5389
10.72930, 0.440, 426.0, 20.6398
10.77930, 0.440, 441.0, 21.0000
10.82930, 0.440, 395.0, 19.8746
10.87930, 0.440, 433.0, 20.8087
10.92930, 0.440, 473.0, 21.7486
10.97930, 0.440, 449.0, 21.1896
11.02930, 0.440, 480.0, 21.9089
11.07930, 0.440, 453.0, 21.2838
11.12930, 0.440, 432.0, 20.7846
11.17930, 0.440, 445.0, 21.0950
11.22930, 0.440, 494.0, 22.2261
11.27930, 0.440, 467.0, 21.6102
11.32930, 0.440, 470.0, 21.6795
11.37930, 0.440, 531.0, 23.0434
11.42930, 0.440, 491.0, 22.1585
11.47930, 0.440, 561.0, 23.6854
11.52930, 0.440, 548.0, 23.4094
11.57930, 0.440, 536.0, 23.1517
11.62930, 0.440, 525.0, 22.9129
11.67930, 0.440, 500.0, 22.3607
11.72930, 0.440, 546.0, 23.3666
11.77930, 0.440, 555.0, 23.5584
11.82930, 0.440, 588.0, 24.2487
11.87930, 0.440, 610.0, 24.6982
11.92930, 0.440, 569.0, 23.8537
11.97930, 0.440, 585.0, 24.1868
12.02930, 0.440, 626.0, 25.0200
12.07930, 0.440, 632.0, 25.1396
12.12930, 0.440, 649.0, 25.4755
12.17930, 0.440, 636.0, 25.2190
12.22930, 0.440, 677.0, 26.0192
12.27930, 0.440, 706.0, 26.5707
12.32930, 0.440, 679.0, 26.0576
12.37930, 0.440, 668.0, 25.8457
12.42930, 0.440, 787.0, 28.0535
12.47930, 0.440, 690.0, 26.2679
12.52930, 0.440, 764.0, 27.6405
12.57930, 0.440, 742.0, 27.2397
12.62930, 0.440, 809.0, 28.4429
12.67930, 0.440, 819.0, 28.6182
12.72930, 0.440, 855.0, 29.2404
12.77930, 0.440, 847.0, 29.1033
12.82930, 0.440, 859.0, 29.3087
12.87930, 0.440, 896.0, 29.9333
12.92930, 0.440, 873.0, 29.5466
12.97930, 0.440, 909.0, 30.1496
13.02930, 0.440, 937.0, 30.6105
13.07930, 0.440, 1012.0, 31.8119
13.12930, 0.440, 1054.0, 32.4654
13.17930, 0.440, 995.0, 31.5436
13.22930, 0.440, 1042.0, 32.2800
13.27930, 0.440, 1095.0, 33.0908
13.32930, 0.440, 1068.0, 32.6803
13.37930, 0.440, 1174.0, 34.2637
13.42930, 0.440, 1158.0, 34.0294
13.47930, 0.440, 1181.0, 34.3657
13.52930, 0.440, 1246.0, 35.2987
13.57930, 0.440, 1212.0, 34.8138
13.62930, 0.440, 1349.0, 36.7287
13.67930, 0.440, 1352.0, 36.7696
13.72930, 0.440, 1352.0, 36.7696
13.77930, 0.440, 1332.0, 36.4966
13.82930, 0.440, 1490.0, 38.6005
13.87930, 0.440, 1508.0, 38.8330
13.92930, 0.440, 1517.0, 38.9487
13.97930, 0.440, 1602.0, 40.0250
14.02930, 0.440, 1614.0, 40.1746
14.07930, 0.440, 1604.0, 40.0500
14.12930, 0.440, 1653.0, 40.6571
14.17930, 0.440, 1681.0, 41.0000
14.22930, 0.440, 1831.0, 42.7902
14.27930, 0.440, 1921.0, 43.8292
14.32930, 0.440, 1883.0, 43.3935
14.37930, 0.440, 1980.0, 44.4972
14.42930, 0.440, 2010.0, 44.8330
14.47930, 0.440, 2108.0, 45.9130
14.52930, 0.440, 2216.0, 47.0744
14.57930, 0.440, 2209.0, 47.0000
14.62930, 0.440, 2261.0, 47.5500
14.67930, 0.440, 2285.0, 47.8017
14.72930, 0.440, 2410.0, 49.0918
14.77930, 0.440, 2504.0, 50.0400
14.82930, 0.440, 2486.0, 49.8598
14.87930, 0.440, 2660.0, 51.5752
14.92930, 0.440, 2776.0, 52.6878
14.97930, 0.440, 2871.0, 53.5817
15.02930, 0.440, 2953.0, 54.3415
15.07930, 0.440, 3001.0, 54.7814
15.12930, 0.440, 3133.0, 55.9732
15.17930, 0.440, 3205.0, 56.6127
15.22930, 0.440, 3328.0, 57.6888
15.27930, 0.440, 3416.0, 58.4466
15.32930, 0.440, 3464.0, 58.8558
15.37930, 0.440, 3533.0, 59.4390
15.42930, 0.440, 3691.0, 60.7536
15.47930, 0.440, 3855.0, 62.0886
15.52930, 0.440, 3966.0, 62.9762
15.57930, 0.440, 4024.0, 63.4350
15.62930, 0.440, 4270.0, 65.3452
15.67930, 0.440, 4304.0, 65.6049
15.72930, 0.440, 4322.0, 65.7419
15.77930, 0.440, 4577.0, 67.6535
15.82930, 0.440, 4679.0, 68.4032
15.87930, 0.440, 4728.0, 68.7605
15.92930, 0.440, 5021.0, 70.8590
15.97930, 0.440, 5096.0, 71.3863
16.02930, 0.440, 5326.0, 72.9794
16.07930, 0.440, 5481.0, 74.0338
16.12930, 0.440, 5616.0, 74.9400
16.17930, 0.440, 5919.0, 76.9350
16.22930, 0.440, 5980.0, 77.3305
16.27930, 0.440, 6234.0, 78.9557
16.32930, 0.440, 6440.0, 80.2496
16.37930, 0.440, 6742.0, 82.1097
16.42930, 0.440, 6958.0, 83.4146
16.47930, 0.440, 6977.0, 83.5284
16.52930, 0.440, 7128.0, 84.4275
16.57930, 0.440, 7515.0, 86.6891
16.62930, 0.440, 7658.0, 87.5100
16.67930, 0.440, 7861.0, 88.6623
16.72930, 0.440, 8005.0, 89.4707
16.77930, 0.440, 8355.0, 91.4057
16.82930, 0.440, 8615.0, 92.8170
16.87930, 0.440, 8833.0, 93.9840
16.92930, 0.440, 9129.0, 95.5458
16.97930, 0.440, 9399.0, 96.9484
17.02930, 0.440, 9615.0, 98.0561
17.07930, 0.440, 9965.0, 99.8248
17.12930, 0.440, 10253.0, 101.2571
17.17930, 0.440, 10635.0, 103.1261
17.22930, 0.440, 10839.0, 104.1105
17.27930, 0.440, 11214.0, 105.8962
17.32930, 0.440, 11379.0, 106.6724
17.37930, 0.440, 11801.0, 108.6324
17.42930, 0.440, 11985.0, 109.4760
17.47930, 0.440, 12260.0, 110.7249
17.52930, 0.440, 12729.0, 112.8229
17.57930, 0.440, 12790.0, 113.0929
17.62930, 0.440, 13383.0, 115.6849
17.67930, 0.440, 13625.0, 116.7262
17.72930, 0.440, 13928.0, 118.0169
17.77930, 0.440, 14491.0, 120.3786
17.82930, 0.440, 14645.0, 121.0165
17.87930, 0.440, 14855.0, 121.8811
17.92930, 0.440, 15270.0, 123.5718
17.97930, 0.440, 15741.0, 125.4631
18.02930, 0.440, 16194.0, 127.2556
18.07930, 0.440, 16285.0, 127.6127
18.12930, 0.440, 16425.0, 128.1601
18.17930, 0.440, 16848.0, 129.7998
18.22930, 0.440, 17387.0, 131.8598
18.27930, 0.440, 17602.0, 132.6725
18.32930, 0.440, 17779.0, 133.3379
18.37930, 0.440, 18247.0, 135.0815
18.42930, 0.440, 18485.0, 135.9596
18.47930, 0.440, 18655.0, 136.5833
18.52930, 0.440, 18666.0, 136.6236
18.57930, 0.440, 19052.0, 138.0290
18.62930, 0.440, 19140.0, 138.3474
18.67930, 0.440, 19471.0, 139.5385
